Sentences,Subject,Object,Verb,tense
	සුවෙ මයං සීලවන‍්තං භික‍්ඛුං වන්‍දිස‍්සාම	,	මයං	,	සීලවන‍්තං භික‍්ඛුං	,	වන්‍දිස‍්සාම	,Future
	බන්‍ධවො සුසුහිසද‍්ධිං අම‍්හාකං ගෙහං ආගමිස‍්සන‍්ති	,	බන්‍ධවො	,	 සුසුහිසද‍්ධිං	,	ආගමිස‍්සන‍්ති	,Future
	සත‍්තු ඵරසුනා තව තරවො ඡින්‍දිස‍්සති	,	සත‍්තු	,	තව තරවො 	,	ඡින්‍දිස‍්සති	,Future
	භික‍්ඛවො නත‍්තාරානං ධම‍්මං දෙසෙස‍්සන‍්ති	,	භික‍්ඛවො	,	නත‍්තාරානං ධම‍්මං	,	නත‍්තාරානං ධම‍්මං	,Future
	ත්‍වං බන්‍ධූනා සින්‍ධුං ගමිස‍්සසි	,	ත්‍වං	,	සින්‍ධුං	,	ගමිස‍්සසි	,Future
	අස‍්සා ච ගොණා ච ගාමෙ චරිස‍්සන‍්ති	,	අස‍්සා ච ගොණා ච	,	ගාමෙ	,	චරිස‍්සන‍්ති	,Future
	චක‍්ඛුමන‍්තො සදා භානුමන‍්තං පස‍්සන‍්ති	,	චක‍්ඛුමන‍්තො	,	භානුමන‍්තං	,	පස‍්සන‍්ති	,Future
	විඤ‍්ඤූනො පච‍්ඡා පභුනො ගෙහෙ වසිස‍්සන‍්ති	,	විඤ‍්ඤූනො	,	පච‍්ඡා පභුනො	,	වසිස‍්සන‍්ති	,Future
	පුරිසො ගාමිං ගචජිසයකි	,	පුරිසො 	,	 ගාමිං 	,	 ගචජිසයකි	,Future
	බාලකා අක‍්ඛරානි ලිඛිස‍්සන‍්ති	,	බාලකා 	,	 අක‍්ඛරානි 	,	 ලිඛිස‍්සන‍්ති	,Future
	ත්‍වං නගරං ගජිස‍්සති	,	ත්‍වං 	,	 නගරං 	,	 ගජිස‍්සති	,Future
	තුම‍්හෙ පරිවෙණං ගවව‍්තිසස‍්සථ	,	තුම‍්හෙ 	,	 පරිවෙණං	,	 ගවව‍්තිසස‍්සථ	,Future
	අහං ධම‍්මං සුණිස‍්සාමි	,	අහං 	,	 ධම‍්මං 	,	 සුණිස‍්සාමි	,Future
	මයං සුරියං වන්‍දිසයාම	,	මයං 	,	 සුරියං 	,	 වන්‍දිසයාම	,Future
	මනුස‍්සො ගාමං ගජිස‍්සති	,	මනුස‍්සො 	,	 ගාමං	,	 ගජිස‍්සති	,Future
	කස‍්සකා ඛෙත‍්තං කසිස‍්සන‍්ති	,	කස‍්සකා 	,	 ඛෙත‍්තං 	,	 කසිස‍්සන‍්ති	,Future
	ත්‍වං පොන‍්ටිකං පයිස‍්සසි	,	ත්‍වං 	,	 පොන‍්ටිකං 	,	 පයිස‍්සසි	,Future
	තුම‍්හෙ ඔදනා පචීස‍්සට	,	තුම‍්හෙ 	,	 ඔදනා 	,	 පචීස‍්සට	,Future
	අහං සිප‍්පං උග‍්ගණ‍්හිස‍්සාමි	,	අහං 	,	 සිප‍්පං 	,	 උග‍්ගණ‍්හිස‍්සාමි	,Future
	මයං රූපානි පස‍්සිස‍්සාම	,	මයං 	,	 රූපානි 	,	 පස‍්සිස‍්සාම	,Future
	උපාසකො බුද‍්ධං චන්‍දිස‍්සති	,	උපාසකො 	,	 බුද‍්ධං 	,	 චන්‍දිස‍්සති	,Future
	උපාසකා බුද‍්ධ වන්‍දිස‍්සන‍්ති	,	උපාසකා 	,	 බුද‍්ධං 	,	වන්‍දිස‍්සන‍්ති	,Future
	භික‍්ඛු රාජං ඔව දිස‍්සති	,	භික‍්ඛු ර	,	 රාජං 	,	 ඔව දිස‍්සති	,Future
	භික‍්ඛවො රාජානො ඔවදිස‍්සන‍්ති	,	භික‍්ඛවො 	,	 රාජානො 	,	 ඔවදිස‍්සන‍්ති	,Future
	අසප‍්පුරිසො භික‍්ඛුං ගරහිස‍්සති	,	අසප‍්පුරිසො 	,	 භික‍්ඛුං 	,	 ගරහිස‍්සති	,Future
	අසප‍්පුරිසා භික‍්ඛවො ගරහිස‍්සන‍්ති	,	අසප‍්පුරිසා 	,	අසප‍්පුරිසා භික‍්ඛවො	,	 ගරහිස‍්සන‍්ති	,Future
	මන‍්ති හත්‍ථිනං ආරුහිස‍්සති	,	මන‍්ති 	,	 හත්‍ථිනං 	,	 ආරුහිස‍්සති	,Future
	මයං සෙට‍්ඨිනො ගෙහං ගමිස‍්සාම	,	මයං	,	සෙට‍්ඨිනො ගෙහං	,	ගමිස‍්සාම	,Future
	බලිනො සුඛිනො භවිස‍්සන‍්ති	,	බලිනො 	,	 සුඛිනො 	,	 භවිස‍්සන‍්ති	,Future
	පාපකාරී භොගිං මාරෙස‍්සති	,	පාපකාරී	,	 භොගිං 	,	 මාරෙස‍්සති	,Future
	සාරථී අස‍්සෙ ගාමම‍්හා හරිස‍්සති	,	සාරථී	,	අස‍්සෙ 	,	හරිස‍්සති	,Future
	සුදො ඔදනං පචිස‍්සති	,	සුදො 	,	 ඔදනං 	,	 පචිස‍්සති	,Future
	මාතා ඔදනං පචිස‍්සති	,	මාතා 	,	 ඔදනං 	,	 පචිස‍්සති	,Future
	යොධො අස‍්සං ආරුහිස‍්සති	,	යොධො 	,	 අස‍්සං 	,	 ආරුහිස‍්සති	,Future
	කුමාරා රථෙන නගරෙ විචරිස‍්සති	,	කුමාරා	,	නගරෙ	,	විචරිස‍්සති	,Future
	මයං අනාථපිණ‍්ඩිකස‍්ස ආරාමං ගච‍්ඡිස‍්සාම	,	මයං	,	අනාථපිණ‍්ඩිකස‍්ස	,	ගච‍්ඡිස‍්සාම	,Future
	ත්‍වං නව ආචරියෙන විනා අනුරාධපුරං ගච‍්ඡිස‍්සාම	,	ත්‍වං	,	අනුරාධපුරං	,	ගච‍්ඡිස‍්සාම	,Future
	මයං අම‍්හාකං පුත‍්තෙහි විනා විහාරං න් ගමිස‍්සාම	,	මයං	,	විහාරං	,	ගමිස‍්සාම	,Future
	තුම‍්හෙහි විනා අහං න ගච‍්ඡිස‍්සාමි	,	අහං	,		,	න ගච‍්ඡිස‍්සාමි	,Future
	කං චොරා ගොනෙ වො හරිස‍්සති	,	චොරා	,	ගොනෙ	,	හරිස‍්සති	,Future
	කිං කුටුම‍්බිසො තුම‍්හාකං ආහාරං දස‍්සති	,	කුටුම‍්බිසො	,	තුම‍්හාකං ආහාරං	,	දස‍්සති	,Future
	මයං ෂගහම‍්හා නික‍්ඛමිස‍්සාම	,	මයං 	,	 ෂගහම‍්හා 	,	 නික‍්ඛමිස‍්සාම	,Future
	ඟුරා ගාම මහා වො පලායිස‍්සති	,	ඟුරා	,	ගාම මහා	,	පලායිස‍්සති	,Future
	තෙ අමම‍්හාකං පුත‍්තෙහි සද‍්ධිං භාතිකස‍්ස ගාමං ගමිස‍්සන‍්ති	,	තෙ	,	ගාමං	,	ගමිස‍්සන‍්ති	,Future
	ආචරියො වො සමණම‍්හි නො පසිදිස‍්සති	,	ආචරියො	,	සමණම‍්හි	,	පසිදිස‍්සති	,Future
	සො ලිඛිස‍්සති                 	,	සො 	,		,	 ලිඛිස‍්සති                 	,Future
	තෙ ලිඛිස‍්සන‍්ති             	,	තෙ            	,		,	 ලිඛිස‍්සන‍්ති             	,Future
	ත්‍වං ලිඛිස‍්සසි                	,	ත්‍වං                	,		,	 ලිඛිස‍්සසි                	,Future
	තුම‍්හෙ ලිඛිස‍්සථ            	,	තුම‍්හෙ             	,		,	 ලිඛිස‍්සථ            	,Future
	අහං ලිඛිස‍්සාමි               	,	අහං              	,		,	 ලිඛිස‍්සාමි               	,Future
	මයං ලිඛිස‍්සාම               	,	මයං                	,		,	 ලිඛිස‍්සාම               	,Future
	සො පඨිස‍්සති             	,	සො            	,		,	 පඨිස‍්සති             	,Future
	තෙ පඨිස‍්සන‍්ති          	,	තෙ           	,		,	 පඨිස‍්සන‍්ති          	,Future
	ත්‍වං පඨිස‍්සසි             	,	ත්‍වං            	,		,	 පඨිස‍්සසි             	,Future
	තුම‍්හෙ පඨිස‍්සථ         	,	තුම‍්හෙ          	,		,	 පඨිස‍්සථ         	,Future
	අහං පඨිස‍්සාමි             	,	අහං            	,		,	 පඨිස‍්සාමි             	,Future
	මයං පඨිස‍්සාම             	,	මයං              	,		,	 පඨිස‍්සාම             	,Future
	සො ආරුහිස‍්සති         	,	සො          	,		,	 ආරුහිස‍්සති         	,Future
	තෙ ආරුහිස‍්සන‍්ති      	,	තෙ      	,		,	 ආරුහිස‍්සන‍්ති      	,Future
	ත්‍වං ආරුහිස‍්සසි         	,	ත්‍වං         	,		,	 ආරුහිස‍්සසි         	,Future
	තුම‍්හෙ ආරුහිස‍්සථ     	,	තුම‍්හෙ     	,		,	 ආරුහිස‍්සථ     	,Future
	අහං ආරුහිස‍්සාමි        	,	අහං         	,		,	 ආරුහිස‍්සාමි        	,Future
	මයං ආරුහිස‍්සාම        	,	මයං       	,		,	 ආරුහිස‍්සාම        	,Future
	සො භවිස‍්සති              	,	සො               	,		,	 භවිස‍්සති              	,Future
	තෙ භවිස‍්සන‍්ති           	,	තෙ            	,		,	 භවිස‍්සන‍්ති           	,Future
	ත්‍වං භවිස‍්සසි              	,	ත්‍වං               	,		,	 භවිස‍්සසි              	,Future
	තුම‍්හෙ භවිස‍්සථ          	,	තුම‍්හෙ           	,		,	 භවිස‍්සථ          	,Future
	අහං භවිස‍්සාමි             	,	අහං              	,		,	 භවිස‍්සාමි             	,Future
	මයං භවිස‍්සාම             	,	මයං              	,		,	 භවිස‍්සාම             	,Future
	සො ජානිස‍්සති             	,	සො              	,		,	 ජානිස‍්සති             	,Future
	තෙ ජානිස‍්සන‍්ති          	,	තෙ           	,		,	 ජානිස‍්සන‍්ති          	,Future
	ත්‍වං ජානිස‍්සසි             	,	ත්‍වං             	,		,	 ජානිස‍්සසි             	,Future
	තුම‍්හෙ ජනිස‍්සථ          	,	තුම‍්හෙ          	,		,	 ජනිස‍්සථ          	,Future
	අහං ජානිස‍්සාමි            	,	අහං             	,		,	 ජානිස‍්සාමි            	,Future
	මයං ජානිස‍්සාම           	,	මයං            	,		,	 ජානිස‍්සාම           	,Future
	අහං සුවෙ ගාමං ගචජිස‍්සාමි	,	අහං	,	ගාමං	,	ගචජිස‍්සාමි	,Future
	පරසුවෙ පුතා ආගච‍්ඡිස‍්සන‍්ති	,	පුතා	,	පරසුවෙ	,	ආගච‍්ඡිස‍්සන‍්ති	,Future
	මයං අජජ ථෙරං උපසක මිසසාම	,	මයං	,	ථෙරං	,	මිසසාම	,Future
	කිිනං තවං සුවෙ ධම‍්මං දෙසෙයි	,	තවං	,	ධම‍්මං	,	දෙසෙයි	,Future
"	භවනා පුරිසා, තුම‍්හෙ ගජං කු සතථ	",	භවනා පුරිසා	,	ගජං	,	සතථ	,Future
"	හෙ පුස‍්ස, සෙකො කදා ආගචච‍්ඡිසයකි	",	සෙකො	,		,	ආගචච‍්ඡිසයකි	,Future
	මයං පරසුවෙ පබ‍්බතං අභිරුහිසස‍්සාම	,	මයං	,	පබ‍්බතං	,	අභිරුහිසස‍්සාම	,Future
	කිත‍්තහු සො සුවෙ අසසං කිණිස‍්සකි	,	සො	,	අසසං	,	කිණිස‍්සකි	,Future
	කුසො වොරා ආගච‍්ඡිස‍්සහසි	,	කුසො	,	වොරා	,	ආගච‍්ඡිස‍්සහසි	,Future
	කර්‍තෘ තුම‍්හෙ යුතුව සහිං ගවච‍්ඡිස‍්සථ 	,	තුම‍්හෙ	,	යුතුව	,	ගවච‍්ඡිස‍්සථ	,Future
	සො ඔදනං පචිස‍්සති	,	සො 	,	ඔදනං	,	 පචිස‍්සති	,Future
	තෙ ඔදනං පචිස‍්සන‍්ති 	,	තෙ 	,	ඔදනං	,	 පචිස‍්සන‍්ති 	,Future
	ත්‍වං ඔදනං පචිස‍්සසි 	,	ත්‍වං 	,	ඔදනං	,	 පචිස‍්සසි 	,Future
	තුම‍්හෙ ඔදනං පවිස‍්සථ 	,	තුම‍්හෙ	,	ඔදනං	,	 පවිස‍්සථ 	,Future
	අහං ඔදනං පචීස‍්සාමි	,	අහං 	,	ඔදනං	,	 පචීස‍්සාමි	,Future
	මයං ඔදනං පචිස‍්සාම	,	මයං 	,	ඔදනං	,	 පචිස‍්සාම	,Future
	සො ඔදනං පචිස‍්සතෙ	,	සො	,	ඔදනං	,	 පචිස‍්සතෙ	,Future
	තෙ ඔදනං පචිස‍්සන‍්නෙ	,	තෙ 	,	ඔදනං	,	 පචිස‍්සන‍්නෙ	,Future
	ත්‍වං ඔදනං පචිස‍්සසෙ	,	ත්‍වං	,	ඔදනං	,	 පචිස‍්සසෙ	,Future
	තුම‍්හෙ ඔදනං පචිස‍්ස වෙහ	,	තුම‍්හෙ 	,	ඔදනං	,	 පචිස‍්ස වෙහ	,Future
	අහං ඔදනං පචිස‍්සං	,	අහං 	,	ඔදනං	,	 පචිස‍්සං	,Future
	මයං ඔදනං පචිස‍්සාහ	,	මයං 	,	ඔදනං	,	 පචිස‍්සාහ	,Future
	වනිතා ඔදනං පවිස‍්සති	,	වනිතා 	,	ඔදනං	,	 පවිස‍්සති	,Future
	ආරිකා මග‍්ගො ධාවිස‍්සති	,	ආරිකා 	,	මග‍්ගො	,	 ධාවිස‍්සති	,Future
	කඤ‍්ඤා ගොධං පහරිස‍්සති	,	කඤ‍්ඤා 	,	ගොධං	,	 පහරිස‍්සති	,Future
	බ්‍රාහ‍්මණි ගෙහං ගච‍්ඡිස‍්සති	,	බ්‍රාහ‍්මණි 	,	ගෙහං	,	 ගච‍්ඡිස‍්සති	,Future
	මාතා පුත‍්තස‍්ස ආහාරං දදිස‍්සති	,	මාතා	,	පුත‍්තස‍්ස ආහාරං	,	දදිස‍්සති	,Future
	පුප‍්ඵානි විකසිස‍්සන‍්ති 	,	පුප‍්ඵානි 	,		,	 විකසිස‍්සන‍්ති 	,Future
	වනිතා ගච‍්ඡසස‍්සති	,	වනිතා 	,		,	 ගච‍්ඡසස‍්සති	,Future
	ථෙරො වදිස‍්සති	,	ථෙරො 	,		,	 වදිස‍්සති	,Future
	බුද‍්ධො ධම‍්මං දෙසස‍්සති	,	බුද‍්ධො 	,	 ධම‍්මං 	,	දෙසස‍්සති	,Future
	දෙවා සාධුකං භාසිස‍්සන‍්ති	,	දෙවා 	,	ගෙහං	,	භාසිස‍්සන‍්ති	,Future
	මනුස‍්සා කම‍්මං කරිස‍්සන‍්ති	,	මනුස‍්සා 	,	 කම‍්මං 	,	කරිස‍්සන‍්ති	,Future
	සො තං පස‍්සිස‍්සති	,	සො 	,	 තං 	,	පස‍්සිස‍්සති	,Future
	ත්‍වං කිං පචිස‍්සසි	,	ත්‍වං 	,	 කිං 	,	පචිස‍්සසි	,Future
	මුනි ධම‍්මං භාසිස‍්සති	,	මුනි	,	ධම‍්මං	,	භාසිස‍්සති	,Future
	තුය‍්හං අධිපතියො අරිං පහරිස‍්සන‍්ති	,	අධිපතියො	,	අරිං	,	පහරිස‍්සන‍්ති	,Future
	භූපති මණිං ගණ‍්හීස‍්සති	,	භූපති 	,	 මණිං 	,	 ගණ‍්හීස‍්සති	,Future
	මය‍්හං ඤාතයො භූපතිං පස‍්සිස‍්සන‍්ති	,	ඤාතයො	,	භූපතිං	,	පස‍්සිස‍්සන‍්ති	,Future
	කවයො සභාසු සොභන‍්ති	,	කවයො 	,	 සභාසු 	,	 සොභන‍්ති	,Future
	අයං ඉසි ගිරිං ආරුහිස‍්සති	,	අයං ඉසි	,	ගිරිං	,	ආරුහිස‍්සති	,Future
	අරයො තුය‍්හං මණයො හරිස‍්සන‍්ති	,	අරයො	,	මණයො	,	හරිස‍්සන‍්ති	,Future
	තෙ මුනයො ලොකං රක‍්ඛිස‍්සන‍්ති	,	මුනයො	,	ලොකං	,	රක‍්ඛිස‍්සන‍්ති	,Future
	සො අධිපති ස‍්වෙ මය‍්හං නගරං ගච‍්ඡිස‍්සති	,	සො අධිපති	,	මය‍්හං නගරං	,	ගච‍්ඡිස‍්සති	,Future
	අයං අරි කුමාරස‍්ස ඤාතිං පච‍්ඡා මාරෙස‍්සති	,	අයං අරි	,	කුමාරස‍්ස ඤාතිං	,	මාරෙස‍්සති	,Future
	සො භුපති වසුධං රක‍්ඛිස‍්සති	,	සො භුපති	,	වසුධං	,	රක‍්ඛිස‍්සති	,Future
	සා බාලිකා ස‍්වෙ වීණං වාදයිස‍්සති	,	සා බාලිකා	,	වීණං	,	වාදයිස‍්සති	,Future
	සාරථි පතිස‍්ස රථං නයති	,	සාරථි	,	රථං	,	නයති	,Future
	ත්‍වං ස‍්වෙ කුහිං ගච‍්ඡිස‍්සසි	,	ත්‍වං	,		,	ගච‍්ඡිස‍්සසි	,Future
	තුම‍්හෙ මය‍්හං ඤාතීනං වීහිං දදිස‍්සථ	,	තුම‍්හෙ	,	වීහිං	,	දදිස‍්සථ	,Future
	භූපතිස‍්ස අසිං ගණ‍්හස‍්සති	,	භූපතිස‍්ස 	,	 අසිං 	,	 ගණ‍්හස‍්සති	,Future
	චොරො කපයො ගිරිසු ධාවිස‍්සන‍්ති	,	චොරො කපයො	,	ගිරිසු	,	ධාවිස‍්සන‍්ති	,Future
	ත්‍වං කස‍්මා එවං කරිස‍්සසි	,	ත්‍වං	,		,	කරිස‍්සසි	,Future
	අහං කවිනා සද‍්ධිං උය්‍යානං ගච‍්ඡිස‍්සාමි 	,	අහං	,	උය්‍යානං	,	ගච‍්ඡිස‍්සාමි	,Future
	කස‍්මා තුම‍්හෙ ස‍්වෙ ජලනිධිං ගච‍්ඡිස‍්සථ	,	තුම‍්හෙ	,	ජලනිධිං	,	ගච‍්ඡිස‍්සථ	,Future
	අහං ගුහායං කපිංච දීපිං ච පස‍්සිස‍්සාම	,	අහං	,	කපිංච දීපිං ච	,	පස‍්සිස‍්සාම	,Future
	තුය‍්හං සාරථීස‍්ස පාණිස‍්මිං මණි අත්‍ථි 	,	තුය‍්හං	,	මණි	,	අත්‍ථි	,Future
	මය‍්හං අධිපති ඉසිනා සද‍්ධිං වසිස‍්සති	,	මය‍්හං අධිපති	,	ඉසිනා සද‍්ධිං	,	වසිස‍්සති	,Future
	සාරථි කවිස‍්ස අසිං පාණිනා ගහිස‍්සති	,	සාරථි	,	අසිං	,	ගහිස‍්සති	,Future
	අහං මය‍්හං ඤාතීහි සද‍්ධිං වසිස‍්සාමි	,	අහං	,	මය‍්හං ඤාතීහි සද‍්ධිං	,	වසිස‍්සාමි	,Future
	සො තුය‍්හං මණීහි තෙසං පරිච‍්චාගං කරිස‍්සති	,	සො	,	තෙසං පරිච‍්චාගං	,	කරිස‍්සති	,Future
	යුවා සො බුද‍්ධං ආරාධයිස‍්සති	,	යුවා සො	,	බුද‍්ධං	,	ආරාධයිස‍්සති	,Future
	වනචරා සඞ‍්ඝස‍්ස පත‍්තචීවරානි දාස‍්සන‍්ති	,	වනචරා	,	පත‍්තචීවරානි	,	දාස‍්සන‍්ති	,Future
	මාතා පුත‍්තස‍්ස සුඛස‍්ස භාජනං භවිස‍්සති	,	මාතා	,	සුඛස‍්ස භාජනං	,	භවිස‍්සති	,Future
	කුමාරී නවය‍්හං චන්‍දං පස‍්සිස‍්සති	,	කුමාරී	,	චන්‍දං	,	පස‍්සිස‍්සති	,Future
	සාමිකා පණ‍්ණසාලං නික‍්කඩ‍්ඪිස‍්සති	,	සාමිකා	,	පණ‍්ණසාලං	,	නික‍්කඩ‍්ඪිස‍්සති	,Future
	කුලපුත‍්තා රත‍්තිං තීණි ජාගරිතානි කරිස‍්සන‍්ති	,	කුලපුත‍්තා	,	ජාගරිතානි	,	කරිස‍්සන‍්ති	,Future
	සා දසවිධං පඤ‍්ඤාපාරමිං පූරයිස‍්සති	,	සා	,	දසවිධං පඤ‍්ඤාපාරමිං	,	පූරයිස‍්සති	,Future
	රාජා තං වීරපුරිසං පූජයිස‍්සති	,	රාජා	,	වීරපුරිසං	,	පූජයිස‍්සති	,Future
	සාධූනං සිරං අභිමද‍්දිස‍්සන‍්ති	,	සාධූනං	,	සිරං	,	අභිමද‍්දිස‍්සන‍්ති	,Future
	තෙ භික‍්ඛූ අට‍්ඨානගාමිනිං පටිපදං පටිපන‍්නා භවිස‍්සන‍්ති	,	තෙ භික‍්ඛූ	,	අට‍්ඨානගාමිනිං පටිපදං	,	පටිපන‍්නා භවිස‍්සන‍්ති	,Future
	සා පඤච් නිවාසනාකාරකරණං සම‍්පාදයිස‍්සති	,	සා	,	පඤච් නිවාසනාකාරකරණං	,	සම‍්පාදයිස‍්සති	,Future
	තෙ බ්‍රාහ‍්මණා වසිට‍්ඨස‍්ස පබ‍්බජ‍්ජං ගරහිස‍්සන‍්ති	,	තෙ බ්‍රාහ‍්මණා	,	වසිට‍්ඨස‍්ස පබ‍්බජ‍්ජං	,	ගරහිස‍්සන‍්ති	,Future
	තෙ කුමාරා වසනග‍්ගමධි තිට‍්ඨිස‍්සන‍්ති	,	තෙ කුමාරා	,	වසනග‍්ගමධි	,	තිට‍්ඨිස‍්සන‍්ති	,Future
	සා භික‍්ඛුනී තෙ දාරකෙ ආදාය ගමිස‍්සති	,	සා භික‍්ඛුනී	,	තෙ දාරකෙ	,	ගමිස‍්සති	,Future
	සො සාමිකො සහස‍්සාහි පුත‍්තානං පිතා භවිස‍්සති	,	සො සාමිකො	,	සහස‍්සාහි පුත‍්තානං පිතා	,	භවිස‍්සති	,Future
	මය‍්හං ඤාතිකා මය‍්හං කලහං සමාදානං කරිස‍්සන‍්ති	,	මය‍්හං ඤාතිකා	,	මය‍්හං කලහං	,	කරිස‍්සන‍්ති	,Future
	සො භික‍්ඛු අරිය මග‍්ගං සමාරුළ‍්හො භවිස‍්සති	,	සො භික‍්ඛු	,	අරිය මග‍්ගං	,	භවිස‍්සති	,Future
	බුද‍්ධ පුත‍්තා දසබලං පටිච‍්චක‍්ඛිස‍්සන‍්ති	,	බුද‍්ධ පුත‍්තා	,	දසබලං	,	පටිච‍්චක‍්ඛිස‍්සන‍්ති	,Future
	සා භික‍්ඛුනී පඨමජ‍්ඣානං සමාපජ‍්ජිස‍්සති	,	සා භික‍්ඛුනී	,	පඨමජ‍්ඣානං	,	සමාපජ‍්ජිස‍්සති	,Future
	මහාමොග‍්ගල‍්ලානට‍්ඨානෙ උපට‍්ඨහිස‍්සන‍්ති	,	මහාමොග‍්ගල‍්ලානට‍්ඨානෙ	,		,	උපට‍්ඨහිස‍්සන‍්ති	,Future
	අනුරුද‍්ධෙ සත‍්තපපාණිකං භවිස‍්සන‍්ති	,	අනුරුද‍්ධෙ	,	සත‍්තපපාණිකං	,	භවිස‍්සන‍්ති	,Future
	සා කුමාරී සොළසසංවච‍්ඡරානි ජීවිතං ගෙහස‍්සොසස‍්සති	,	සා කුමාරී	,	සොළසසංවච‍්ඡරානි ජීවිතං	,	ගෙහස‍්සොසස‍්සති	,Future
	මය‍්හං පිතා අාරාමස‍්ස භාරියං කරිස‍්සති	,	මය‍්හං පිතා	,	අාරාමස‍්ස භාරියං	,	කරිස‍්සති	,Future
	කිරීටී රාජා භාවනානුස‍්සති භාවයිස‍්සති	,	කිරීටී රාජා	,	භාවනානුස‍්සති	,	භාවයිස‍්සති	,Future
	ඉමානි පුස‍්තකානි පඨිස‍්සම	,	ඉමානි පුස‍්තකානි	,		,	පඨිස‍්සම	,Future
	සිසූ පඨනීයානි ලිඛිස‍්සන‍්ති	,	සිසූ 	,	 පඨනීයානි 	,	 ලිඛිස‍්සන‍්ති	,Future
	රාජා නගරං ගමිස‍්සති	,	රාජා	,	 නගරං	,	 ගමිස‍්සති	,Future
	මයං පුජාවරානි කරිස‍්සාම	,	මයං 	,	 පුජාවරානි 	,	 කරිස‍්සාම	,Future
	ත්‍වං කපුත‍්තං ජාලිස‍්සසි	,	ත්‍වං	,	කපුත‍්තං	,	ජාලිස‍්සසි	,Future
	මනුස‍්සා ඊදිසාන් මාලාසු ගණ‍්හිස‍්සන‍්ති	,	මනුස‍්සා	,	ඊදිසාන් මාලාසු	,	ගණ‍්හිස‍්සන‍්ති	,Future
	අහං බහූනි පුස‍්තකානි විකීණිස‍්සාමි	,	අහං	,	බහූනි පුස‍්තකානි	,	විකීණිස‍්සාමි	,Future
	සිස‍්සා පාඨශාලාය ගමිස‍්සන‍්ති	,	සිස‍්සා 	,	 පාඨශාලාය 	,	 ගමිස‍්සන‍්ති	,Future
	කුතරො තප‍්පටිවිද‍්ධානි ලිඛිස‍්සතී	,	කුතරො 	,	 තප‍්පටිවිද‍්ධානි 	,	 ලිඛිස‍්සතී	,Future
	මිත‍්තා වදනීයානි වදිස‍්සන‍්ති	,	මිත‍්තා 	,	 වදනීයානි 	,	 වදිස‍්සන‍්ති	,Future
	සීලවන‍්තො පූජනීයා භවිස‍්සන‍්ති	,	සීලවන‍්තො 	,	 පූජනීයා 	,	 භවිස‍්සන‍්ති	,Future
	අහං නූතනානි චීවරානි ලභිස‍්සාමි	,	සීලවන‍්තො 	,	 පූජනීයා 	,	 භවිස‍්සන‍්ති	,Future
	කස‍්සකා ඛෙත‍්තානි පරිභාවිස‍්සන‍්ති	,	කස‍්සකා	,	ඛෙත‍්තානි	,	පරිභාවිස‍්සන‍්ති	,Future
	බ්‍රාහ‍්මණා පෛරිචරිනීයං කරිස‍්සන‍්ති	,	බ්‍රාහ‍්මණා	,	පෛරිචරිනීයං	,	කරිස‍්සන‍්ති	,Future
